"M","#N_rows","K","N. FLOPS","GPU [No A Transf]","GPU [With A Transf]","CPU - 1 Core",,,"#Batches","Batch Size","#N_rows"
4096,1040,4096,52344913920,0.4481848000,0.5004999000,3.1980019000,,,65,16,1040
4096,1056,4096,53150220288,0.4560276000,0.5083577000,3.2380460000,,,66,16,1056
4096,1072,4096,53955526656,0.4611413000,0.5133748000,3.2869300000,,,67,16,1072
4096,1088,4096,54760833024,0.4708550000,0.5231704000,3.3385062000,,,68,16,1088
4096,1104,4096,55566139392,0.4766561000,0.5289348000,3.3844368000,,,69,16,1104
4096,1120,4096,56371445760,0.4837880000,0.5359502000,3.4323051000,,,70,16,1120
4096,1136,4096,57176752128,0.4895828000,0.5417893000,3.4843128000,,,71,16,1136
4096,1152,4096,57982058496,0.4969537000,0.5492848000,3.5299542000,,,72,16,1152
4096,1168,4096,58787364864,0.5029586000,0.5551586000,3.5790263000,,,73,16,1168
4096,1184,4096,59592671232,0.5118758000,0.5640685000,3.6296994000,,,74,16,1184
4096,1200,4096,60397977600,0.5175527000,0.5697603000,3.6761392000,,,75,16,1200
4096,1216,4096,61203283968,0.5249247000,0.5771026000,3.7253721000,,,76,16,1216
4096,1232,4096,62008590336,0.5326866000,0.5848066000,3.7733187000,,,77,16,1232
4096,1248,4096,62813896704,0.5378797000,0.5900440000,3.8224528000,,,78,16,1248
4096,1264,4096,63619203072,0.5458484000,0.5980558000,3.8701303000,,,79,16,1264
4096,1280,4096,64424509440,0.5508390000,0.6028534000,3.9202296000,,,80,16,1280
4096,1296,4096,65229815808,0.5587286000,0.6107619000,3.9692087000,,,81,16,1296
4096,1312,4096,66035122176,0.5637318000,0.6157372000,4.0163902000,,,82,16,1312
4096,1328,4096,66840428544,0.5736224000,0.6255777000,4.0677383000,,,83,16,1328
4096,1344,4096,67645734912,0.5791818000,0.6312368000,4.1415808000,,,84,16,1344
4096,1360,4096,68451041280,0.5866189000,0.6387518000,4.1624473000,,,85,16,1360
4096,1376,4096,69256347648,0.5921978000,0.6443194000,4.2139997000,,,86,16,1376
4096,1392,4096,70061654016,0.5997013000,0.6517297000,4.2599767000,,,87,16,1392
4096,1408,4096,70866960384,0.6055621000,0.6575376000,4.3086217000,,,88,16,1408
4096,1424,4096,71672266752,0.6125236000,0.6643721000,4.3597987000,,,89,16,1424
4096,1440,4096,72477573120,0.6182072000,0.6702103000,4.4065734000,,,90,16,1440
4096,1456,4096,73282879488,0.6274536000,0.6793680000,4.4546597000,,,91,16,1456
4096,1472,4096,74088185856,0.6354594000,0.6873259000,4.5037803000,,,92,16,1472
4096,1488,4096,74893492224,0.6405473000,0.6923939000,4.5585017000,,,93,16,1488
4096,1504,4096,75698798592,0.6482040000,0.6999768000,4.6031054000,,,94,16,1504
4096,1520,4096,76504104960,0.6534511000,0.7054778000,4.6760428000,,,95,16,1520
4096,1536,4096,77309411328,0.6614785000,0.7134224000,4.6984080000,,,96,16,1536
4096,1552,4096,78114717696,0.6666450000,0.7184399000,4.7470646000,,,97,16,1552
4096,1568,4096,78920024064,0.6766674000,0.7284389000,4.7964724000,,,98,16,1568
4096,1584,4096,79725330432,0.6825952000,0.7343509000,4.8444202000,,,99,16,1584
4096,1600,4096,80530636800,0.6894103000,0.7413536000,4.8933725000,,,100,16,1600
4096,1616,4096,81335943168,0.6955216000,0.7473150000,4.9418483000,,,101,16,1616
4096,1632,4096,82141249536,0.7025268000,0.7544951000,4.9912179000,,,102,16,1632
4096,1648,4096,82946555904,0.7080774000,0.7599271000,5.0408200000,,,103,16,1648
4096,1664,4096,83751862272,0.7154819000,0.7672065000,5.0889067000,,,104,16,1664
4096,1680,4096,84557168640,0.7213005000,0.7730648000,5.1370339000,,,105,16,1680
4096,1696,4096,85362475008,0.7307159000,0.7823092000,5.1892309000,,,106,16,1696
4096,1712,4096,86167781376,0.7383633000,0.7902700000,5.2472337000,,,107,16,1712
4096,1728,4096,86973087744,0.7436946000,0.7954928000,5.2864861000,,,108,16,1728
4096,1744,4096,87778394112,0.7514432000,0.8031051000,5.3316954000,,,109,16,1744
4096,1760,4096,88583700480,0.7563150000,0.8079081000,5.4074164000,,,110,16,1760
4096,1776,4096,89389006848,0.7638402000,0.8154070000,5.4307323000,,,111,16,1776
4096,1792,4096,90194313216,0.7688911000,0.8205860000,5.4834059000,,,112,16,1792
4096,1808,4096,90999619584,0.7786233000,0.8304509000,5.5282775000,,,113,16,1808
4096,1824,4096,91804925952,0.7844675000,0.8361051000,5.5794938000,,,114,16,1824
4096,1840,4096,92610232320,0.7915777000,0.8431823000,5.6246615000,,,115,16,1840
4096,1856,4096,93415538688,0.7977297000,0.8492373000,5.6748814000,,,116,16,1856
4096,1872,4096,94220845056,0.8068146000,0.8583571000,5.7223901000,,,117,16,1872
4096,1888,4096,95026151424,0.8124609000,0.8641708000,5.7709748000,,,118,16,1888
4096,1904,4096,95831457792,0.8178492000,0.8693989000,5.8343109000,,,119,16,1904
4096,1920,4096,96636764160,0.8233485000,0.8749113000,5.8801171000,,,120,16,1920
4096,1936,4096,97442070528,0.8325855000,0.8841237000,5.9219213000,,,121,16,1936
4096,1952,4096,98247376896,0.8406224000,0.8920319000,5.9721934000,,,122,16,1952
4096,1968,4096,99052683264,0.8455428000,0.8970012000,6.0232712000,,,123,16,1968
4096,1984,4096,99857989632,0.8534553000,0.9048511000,6.0639863000,,,124,16,1984
4096,2000,4096,100663296000,0.8590387000,0.9104757000,6.1126621000,,,125,16,2000
4096,2016,4096,101468602368,0.8667412000,0.9182904000,6.1797309000,,,126,16,2016
4096,2032,4096,102273908736,0.8717308000,0.9232778000,6.2097522000,,,127,16,2032
4096,2048,4096,103079215104,0.8812885000,0.9335582000,6.2583494000,,,128,16,2048
4096,2064,4096,103884521472,0.8872304000,0.9387637000,6.3077056000,,,129,16,2064
4096,2080,4096,104689827840,0.8945352000,0.9460018000,6.3562131000,,,130,16,2080
4096,2096,4096,105495134208,0.9001107000,0.9514537000,6.4313910000,,,131,16,2096
4096,2112,4096,106300440576,0.9076867000,0.9591649000,6.4833919000,,,132,16,2112
4096,2128,4096,107105746944,0.9131086000,0.9644118000,6.5196423000,,,133,16,2128
4096,2144,4096,107911053312,0.9206252000,0.9719840000,6.5515345000,,,134,16,2144
4096,2160,4096,108716359680,0.9261115000,0.9774993000,6.6015603000,,,135,16,2160
4096,2176,4096,109521666048,0.9354526000,0.9867786000,6.6491961000,,,136,16,2176
4096,2192,4096,110326972416,0.9432052000,0.9945099000,6.7034390000,,,137,16,2192
4096,2208,4096,111132278784,0.9486521000,1.0000132000,6.7680758000,,,138,16,2208
