"blas multithreaded","tamano","threads","seg","icc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","icc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos"
,,,,,5000,1,47,1.104913,,,,,,,,,,,,,,,
,,,,,5000,1,48,1.010658,,,,,,,,,,,,,,,
,,,,,5000,1,48,0.984576,,,,,,,,,,,,,,,
,,,,,5000,1,49,1.044416,,,,,,,,,,,,,,,
,,,,,5000,1,49,1.067445,,,,,,,,,,,,,,,
,,,,,5000,1,50,1.046114,,,,,,,,,,,,,,,
,,,,,5000,1,50,1.101791,,,,,,,,,,,,,,,
,,,,,5000,1,51,1.024376,,,,,,,,,,,,,,,
,,,,,5000,1,51,0.974194,,,,,,,,,,,,,,,
,,,,,5000,1,52,1.045793,,,,,,,,,,,,,,,
,,,,,5000,1,52,0.988035,,,,,,,,,,,,,,,
,,,,,5000,1,53,1.126101,,,,,,,,,,,,,,,
,,,,,5000,1,53,1.108713,,,,,,,,,,,,,,,
,,,,,5000,1,54,1.167359,,,,,,,,,,,,,,,
,,,,,5000,1,54,1.163211,,,,,,,,,,,,,,,
,,,,,5000,1,55,1.376078,,,,,,,,,,,,,,,
,,,,,5000,1,55,1.369359,,,,,,,,,,,,,,,
,,,,,5000,1,56,1.135767,,,,,,,,,,,,,,,
,,,,,5000,1,56,1.184769,,,,,,,,,,,,,,,
,,,,,5000,1,57,1.220628,,,,,,,,,,,,,,,
,,,,,5000,1,57,1.197111,,,,,,,,,,,,,,,
,,,,,5000,1,58,1.154563,,,,,,,,,,,,,,,
,,,,,5000,1,58,1.181313,,,,,,,,,,,,,,,
,,,,,5000,1,59,1.169036,,,,,,,,,,,,,,,
,,,,,5000,1,59,1.169465,,,,,,,,,,,,,,,
,,,,,5000,1,60,1.163632,,,,,,,,,,,,,,,
,,,,,5000,1,60,1.123334,,,,,,,,,,,,,,,
,,,,,5000,1,61,1.461350,,,,,,,,,,,,,,,
,,,,,5000,1,61,1.451085,,,,,,,,,,,,,,,
