"blas multithreaded","tamano","threads","seg","icc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","icc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos"
,250,55,0.004345,,250,1,28,0.002487,,250,1,28,0.00,,250,2,24,0.00,,250,2,24,0.00
,250,56,0.004422,,250,1,28,0.001710,,250,1,28,0.00,,250,2,24,0.01,,250,2,24,0.01
,250,57,0.004423,,250,1,29,0.002258,,250,1,29,0.00,,250,2,26,0.00,,250,2,26,0.00
,250,58,0.004458,,250,1,29,0.001609,,250,1,29,0.00,,250,2,26,0.01,,250,2,26,0.01
,250,59,0.004535,,250,1,30,0.002075,,250,1,30,0.00,,250,2,28,0.00,,250,2,28,0.00
,250,60,0.004637,,250,1,30,0.001411,,250,1,30,0.00,,250,2,28,0.01,,250,2,28,0.01
,250,61,0.004848,,250,1,31,0.002003,,250,1,31,0.00,,250,2,30,0.00,,250,2,30,0.00
,250,62,0.004916,,250,1,31,0.001374,,250,1,31,0.00,,250,2,30,0.01,,250,2,30,0.00
,250,63,0.005757,,250,1,32,0.002395,,250,1,32,0.00,,250,2,32,0.00,,250,2,32,0.00
,250,64,0.005776,,250,1,32,0.001653,,250,1,32,0.00,,250,2,32,0.01,,250,2,32,0.01
,250,65,0.01,,250,1,33,0.002392,,250,1,33,0.00,,250,3,4,0.00,,250,3,4,0.00
,250,66,0.01,,250,1,33,0.001784,,250,1,33,0.00,,250,3,4,0.01,,250,3,4,0.01
,250,67,0.01,,250,1,34,0.002533,,250,1,34,0.00,,250,3,8,0.00,,250,3,8,0.00
,250,68,0.01,,250,1,34,0.001785,,250,1,34,0.00,,250,3,8,0.00,,250,3,8,0.00
,250,69,0.01,,250,1,35,0.002655,,250,1,35,0.00,,250,3,12,0.00,,250,3,12,0.00
,250,70,0.01,,250,1,35,0.001932,,250,1,35,0.00,,250,3,12,0.01,,250,3,12,0.01
,250,71,0.01,,250,1,36,0.002829,,250,1,36,0.00,,250,3,16,0.00,,250,3,16,0.00
,250,72,0.01,,250,1,36,0.002010,,250,1,36,0.00,,250,3,16,0.01,,250,3,16,0.00
,250,73,0.01,,250,1,37,0.003410,,250,1,37,0.00,,250,3,20,0.00,,250,3,20,0.00
,250,74,0.01,,250,1,37,0.001854,,250,1,37,0.00,,250,3,20,0.01,,250,3,20,0.00
,250,75,0.01,,250,1,38,0.002970,,250,1,38,0.00,,250,4,1,0.00,,250,4,1,0.00
,250,76,0.01,,250,1,38,0.001834,,250,1,38,0.00,,250,4,1,0.00,,250,4,1,0.00
,250,77,0.01,,250,1,39,0.002688,,250,1,39,0.00,,250,4,2,0.00,,250,4,2,0.00
,250,78,0.01,,250,1,39,0.001707,,250,1,39,0.00,,250,4,2,0.00,,250,4,2,0.00
,250,79,0.02,,250,1,40,0.002725,,250,1,40,0.00,,250,4,3,0.00,,250,4,3,0.00
,250,80,0.01,,250,1,40,0.001763,,250,1,40,0.00,,250,4,3,0.00,,250,4,3,0.00
,250,81,0.01,,250,1,41,0.002766,,250,1,41,0.00,,250,4,4,0.00,,250,4,4,0.00
,250,82,0.01,,250,1,41,0.001782,,250,1,41,0.00,,250,4,4,0.00,,250,4,4,0.00
,250,83,0.02,,250,1,42,0.003421,,250,1,42,0.00,,250,4,5,0.00,,250,4,5,0.00
,250,84,0.01,,250,1,42,0.002369,,250,1,42,0.00,,250,4,5,0.00,,250,4,5,0.00
,250,85,0.01,,250,1,43,0.003390,,250,1,43,0.00,,250,4,6,0.00,,250,4,6,0.00
,250,86,0.01,,250,1,43,0.002258,,250,1,43,0.00,,250,4,6,0.00,,250,4,6,0.00
,250,87,0.01,,250,1,44,0.003361,,250,1,44,0.00,,250,4,7,0.00,,250,4,7,0.00
,250,88,0.01,,250,1,44,0.002156,,250,1,44,0.00,,250,4,7,0.00,,250,4,7,0.00
,250,89,0.01,,250,1,45,0.003356,,250,1,45,0.00,,250,4,8,0.00,,250,4,8,0.00
,250,90,0.01,,250,1,45,0.002087,,250,1,45,0.00,,250,4,8,0.00,,250,4,8,0.00
,250,91,0.01,,250,1,46,0.003267,,250,1,46,0.00,,250,4,9,0.00,,250,4,9,0.00
,250,92,0.01,,250,1,46,0.001954,,250,1,46,0.00,,250,4,9,0.01,,250,4,9,0.00
,250,93,0.01,,250,1,47,0.003372,,250,1,47,0.00,,250,4,10,0.00,,250,4,10,0.00
,250,94,0.01,,250,1,47,0.002007,,250,1,47,0.00,,250,4,10,0.01,,250,4,10,0.00
,250,95,0.01,,250,1,48,0.003493,,250,1,48,0.00,,250,4,11,0.00,,250,4,11,0.00
,250,96,0.01,,250,1,48,0.002052,,250,1,48,0.00,,250,4,11,0.01,,250,4,11,0.00
,250,97,0.01,,250,1,49,0.003548,,250,1,49,0.00,,250,4,12,0.00,,250,4,12,0.00
,250,98,0.01,,250,1,49,0.002088,,250,1,49,0.00,,250,4,12,0.00,,250,4,12,0.00
,250,99,0.01,,250,1,50,0.003647,,250,1,50,0.00,,250,4,13,0.00,,250,4,13,0.00
,250,100,0.01,,250,1,50,0.002137,,250,1,50,0.00,,250,4,13,0.00,,250,4,13,0.00
,250,101,0.01,,250,1,51,0.004188,,250,1,51,0.00,,250,4,14,0.00,,250,4,14,0.00
,250,102,0.01,,250,1,51,0.002578,,250,1,51,0.00,,250,4,14,0.01,,250,4,14,0.00
,250,103,0.01,,250,1,52,0.004208,,250,1,52,0.00,,250,4,15,0.00,,250,4,15,0.00
,250,104,0.01,,250,1,52,0.002497,,250,1,52,0.00,,250,4,15,0.01,,250,4,15,0.00
,250,105,0.01,,250,1,53,0.004458,,250,1,53,0.00,,250,4,16,0.00,,250,4,16,0.00
,250,106,0.01,,250,1,53,0.002663,,250,1,53,0.00,,250,4,16,0.00,,250,4,16,0.00
,250,107,0.01,,250,1,54,0.004487,,250,1,54,0.00,,250,5,4,0.00,,250,5,4,0.00
,250,108,0.01,,250,1,54,0.002647,,250,1,54,0.00,,250,5,4,0.00,,250,5,4,0.00
,250,109,0.01,,250,1,55,0.004484,,250,1,55,0.00,,250,5,8,0.00,,250,5,8,0.00
,250,110,0.01,,250,1,55,0.002584,,250,1,55,0.00,,250,5,8,0.00,,250,5,8,0.00
,250,111,0.01,,250,1,56,0.004550,,250,1,56,0.00,,250,5,12,0.00,,250,5,12,0.00
,250,112,0.01,,250,1,56,0.002552,,250,1,56,0.00,,250,5,12,0.00,,250,5,12,0.00
,250,113,0.01,,250,1,57,0.004497,,250,1,57,0.00,,250,6,2,0.00,,250,6,2,0.00
,250,114,0.01,,250,1,57,0.002509,,250,1,57,0.00,,250,6,2,0.00,,250,6,2,0.00
,250,115,0.01,,250,1,58,0.004596,,250,1,58,0.00,,250,6,4,0.00,,250,6,4,0.00
,250,116,0.01,,250,1,58,0.002575,,250,1,58,0.00,,250,6,4,0.00,,250,6,4,0.00
,250,117,0.01,,250,1,59,0.004696,,250,1,59,0.00,,250,6,6,0.00,,250,6,6,0.00
,250,118,0.01,,250,1,59,0.002581,,250,1,59,0.00,,250,6,6,0.00,,250,6,6,0.00
,250,119,0.01,,250,1,60,0.004678,,250,1,60,0.00,,250,6,8,0.00,,250,6,8,0.00
,250,120,0.01,,250,1,60,0.002745,,250,1,60,0.00,,250,6,8,0.00,,250,6,8,0.00
,250,121,0.01,,250,1,61,0.004974,,250,1,61,0.00,,250,6,10,0.00,,250,6,10,0.00
,250,122,0.01,,250,1,61,0.002727,,250,1,61,0.00,,250,6,10,0.00,,250,6,10,0.01
,250,123,0.01,,250,1,62,0.005144,,250,1,62,0.00,,250,7,4,0.00,,250,7,4,0.00
,250,124,0.01,,250,1,62,0.002748,,250,1,62,0.00,,250,7,4,0.00,,250,7,4,0.00
,250,125,0.01,,250,1,63,0.005942,,250,1,63,0.01,,250,7,8,0.00,,250,7,8,0.00
,250,126,0.02,,250,1,63,0.003610,,250,1,63,0.00,,250,7,8,0.00,,250,7,8,0.00
,250,127,0.02,,250,1,64,0.006094,,250,1,64,0.01,,250,8,1,0.00,,250,8,1,0.00
,250,128,0.02,,250,1,64,0.003495,,250,1,64,0.00,,250,8,1,0.00,,250,8,1,0.00
,500,1,0.04,,250,1,65,0.006116,,250,1,65,0.01,,250,8,2,0.00,,250,8,2,0.00
,500,2,0.02,,250,1,65,0.003437,,250,1,65,0.00,,250,8,2,0.00,,250,8,2,0.00
,500,3,0.02,,250,1,66,0.005886,,250,1,66,0.01,,250,8,3,0.00,,250,8,3,0.00
